comparison_type,comparison_id,scenario_id,loss_to_gain_ratio,display_role,scenario_role,algorithm_family,reference_model_id,candidate_model_id,t_model_id,t_plus_ad_model_id,approved_count_reference,approved_count_candidate,approved_count_change,approval_rate_percent_change,realised_default_count_change,realised_default_rate_change,predicted_expected_total_value_change,predicted_expected_value_per_evaluation_case_change,predicted_expected_value_per_approved_case_change,realised_total_value_change,realised_value_per_evaluation_case_change,realised_value_per_approved_case_change,normalized_break_even_ad_cost_per_scored_case,expected_scenario_value_T,expected_scenario_value_T_plus_AD,incremental_expected_value_from_AD,realised_scenario_value_T,realised_scenario_value_T_plus_AD,incremental_value_from_AD
within_family_ad,lightgbm,normalized_gl_2,2,detailed_only,additional_grid,lightgbm,lightgbm_T,lightgbm_T_plus_AD,lightgbm_T,lightgbm_T_plus_AD,228733,228689,-44,-0.0192140577033086,-27,-0.0001120844647654,21.34999994430109,9.323184793075256e-05,0.0002678953193723,37.0,0.0001615727579596,0.0003362533942964,0.0001615727579596,207495.72706597985,207517.07706592415,21.34999994430109,207406.0,207443.0,37.0
within_family_ad,lightgbm,normalized_gl_5,5,detailed_only,additional_grid,lightgbm,lightgbm_T,lightgbm_T_plus_AD,lightgbm_T,lightgbm_T_plus_AD,225904,225417,-487,-0.2126646841252579,-107,-0.0004124841659347,233.77287306872313,0.0010208466983205,0.0028264282529901,155.0,0.000676858850912,0.0024749049956087,0.000676858850912,187102.36920002644,187336.14207309516,233.77287306872313,186886.0,187041.0,155.0
within_family_ad,lightgbm,normalized_gl_10,10,detailed_only,additional_grid,lightgbm,lightgbm_T,lightgbm_T_plus_AD,lightgbm_T,lightgbm_T_plus_AD,216288,214936,-1352,-0.5903955912471304,-190,-0.0007294966316986,1118.5016822899051,0.0048843081510832,0.0097887950083074,738.0,0.0032227214966005,0.0080244629486847,0.0032227214966004,157650.71729609845,158769.21897838835,1118.5016822899051,157856.0,158594.0,738.0
within_family_ad,lightgbm,normalized_gl_20,20,lower_loss_sensitivity,lower_loss_sensitivity,lightgbm,lightgbm_T,lightgbm_T_plus_AD,lightgbm_T,lightgbm_T_plus_AD,188051,186191,-1860,-0.8122306210944146,-259,-0.00120585959915,3733.8814015208623,0.0163052301604848,0.0261017153617928,3579.0,0.0156288892091231,0.0253230515821504,0.0156288892091231,113843.96067619052,117577.8420777114,3733.8814015208623,114845.0,118424.0,3579.0
within_family_ad,lightgbm,normalized_gl_30,30,primary,primary,lightgbm,lightgbm_T,lightgbm_T_plus_AD,lightgbm_T,lightgbm_T_plus_AD,158170,158902,732,0.3196520508823113,-172,-0.0011498221204455,5878.268993211692,0.0256694090070772,0.0345208027701695,6064.0,0.0264804649801964,0.0356444857338129,0.0264804649801964,84885.5155626813,90763.784555893,5878.268993211692,86436.0,92500.0,6064.0
within_family_ad,lightgbm,normalized_gl_50,50,higher_loss_sensitivity,higher_loss_sensitivity,lightgbm,lightgbm_T,lightgbm_T_plus_AD,lightgbm_T,lightgbm_T_plus_AD,113257,117887,4630,2.021842890143624,-50,-0.0008132185344884,7896.29018458612,0.0344817671019791,0.049348057611951,7180.0,0.0313538487067629,0.0414741452589126,0.0313538487067629,50850.57591951682,58746.86610410294,7896.29018458612,56035.0,63215.0,7180.0
within_family_ad,logit,normalized_gl_2,2,detailed_only,additional_grid,logit,logit_T,logit_T_plus_AD,logit_T,logit_T_plus_AD,228634,228598,-36,-0.0157205926663408,-10,-3.88186610493467e-05,16.933517477446003,7.394581407538237e-05,0.0002170020580807,-6.0,-2.6200987777169615e-05,0.000116455983148,-2.62009877772392e-05,207502.6231905106,207519.5567079881,16.933517477446003,207178.0,207172.0,-6.0
within_family_ad,logit,normalized_gl_5,5,detailed_only,additional_grid,logit,logit_T,logit_T_plus_AD,logit_T,logit_T_plus_AD,227136,226810,-326,-0.142358700256338,-74,-0.0002823856232376,164.9387290244922,0.0007202596038606,0.0019097441280696,118.0,0.0005152860929523,0.001694313739426,0.0005152860929523,186871.849780015,187036.7885090395,164.9387290244922,185532.0,185650.0,118.0
within_family_ad,logit,normalized_gl_10,10,detailed_only,additional_grid,logit,logit_T,logit_T_plus_AD,logit_T,logit_T_plus_AD,221947,220124,-1823,-0.7960733452984528,-207,-0.0007084362037297,986.3103656689054,0.0043070509725758,0.0102555952395501,454.0,0.0019825414084777,0.0077927982410274,0.0019825414084777,154765.3939418535,155751.7043075224,986.3103656689054,153571.0,154025.0,454.0
within_family_ad,logit,normalized_gl_20,20,lower_loss_sensitivity,lower_loss_sensitivity,logit,logit_T,logit_T_plus_AD,logit_T,logit_T_plus_AD,196492,192261,-4231,-1.8476063214249765,-299,-0.0010751578298694,4656.552730719923,0.0203343801969437,0.0355767405349837,2048.0,0.008943270494631,0.0225783144272584,0.0089432704946309,101402.456649728,106059.00938044793,4656.552730719923,106486.0,108534.0,2048.0
within_family_ad,logit,normalized_gl_30,30,primary,primary,logit,logit_T,logit_T_plus_AD,logit_T,logit_T_plus_AD,157931,156705,-1226,-0.5353735169149161,-250,-0.0014627405640626,8429.831837856167,0.0368116534913085,0.0569583621849588,6524.0,0.0284892073764514,0.045344957485941,0.0284892073764514,63871.66440791001,72301.49624576617,8429.831837856167,74944.0,81468.0,6524.0
within_family_ad,logit,normalized_gl_50,50,higher_loss_sensitivity,higher_loss_sensitivity,logit,logit_T,logit_T_plus_AD,logit_T,logit_T_plus_AD,83699,96727,13028,5.689107812697877,89,-0.0005056349650899,10458.75725275236,0.045671628490746,0.0681840533111166,8489.0,0.0370700308734972,0.0257873832195891,0.0370700308734972,24821.355583818193,35280.11283657055,10458.75725275236,38513.0,47002.0,8489.0
within_family_ad,mlp,normalized_gl_2,2,detailed_only,additional_grid,mlp,mlp_T,mlp_T_plus_AD,mlp_T,mlp_T_plus_AD,228946,228916,-30,-0.013100493888615,-13,-5.26805852843551e-05,168.85045442782575,0.0007373414487741,0.0008563435602249,9.0,3.9301481665865445e-05,0.0001580417558529,3.930148166585881e-05,207427.27391682717,207596.124371255,168.85045442782575,207412.0,207421.0,9.0
within_family_ad,mlp,normalized_gl_5,5,detailed_only,additional_grid,mlp,mlp_T,mlp_T_plus_AD,mlp_T,mlp_T_plus_AD,226687,226660,-27,-0.011790444499752,-9,-3.619994764192045e-05,423.7015207063232,0.0018502330608706,0.0019672973190765,27.0,0.0001179044449975,0.0002171996858515,0.0001179044449975,186438.2163412213,186861.9178619276,423.7015207063232,186643.0,186670.0,27.0
within_family_ad,mlp,normalized_gl_10,10,detailed_only,additional_grid,mlp,mlp_T,mlp_T_plus_AD,mlp_T,mlp_T_plus_AD,215561,215002,-559,-0.2441058694579396,-84,-0.0003262738953004,837.3299278035411,0.0036564785339828,0.0057789623238018,365.0,0.0015938934231153,0.003589012848305,0.0015938934231153,156236.81185860536,157074.1417864089,837.3299278035411,156810.0,157175.0,365.0
