common_risk_budget_percent,common_risk_budget_probability,is_external_display_point,model_id,selected_calibration_method,maximum_feasible_approval_rate_percent,approved_count,rejected_count,boundary_calibrated_pd_cutoff,approved_portfolio_mean_calibrated_pd,cumulative_expected_defaults,realised_approved_defaults,realised_approved_non_defaults,realised_approved_default_rate,budget_slack,feasibility_flag,status,stable_tie_break_rule
0.75,0.0075,True,logit_T,identity,4.164647007192171,9537,219462,0.0090182689517551,0.007499938761985,71.52691597305164,59,9478,0.0061864317919681,6.12380149263292e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.76,0.0076,False,logit_T,identity,4.445434259538251,10180,218819,0.0091509942660175,0.0075999927495076,77.36792618998767,60,10120,0.005893909626719,7.250492370554362e-09,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.77,0.0077,False,logit_T,identity,4.7375752732544685,10849,218150,0.0092846155776548,0.0076999620374852,83.53688814467726,62,10787,0.0057148124251083,3.7962514769750155e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.78,0.0078,False,logit_T,identity,5.042816780859305,11548,217451,0.0094191272572913,0.0077999031395132,90.07328145509857,68,11480,0.0058884655351576,9.686048678923809e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.79,0.0079,False,logit_T,identity,5.361158782352762,12277,216722,0.009548527512651,0.0078998867623816,96.98690978175962,74,12203,0.0060275311558198,1.132376183429068e-07,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.8,0.008,False,logit_T,identity,5.692164594605217,13035,215964,0.0096920406010596,0.0079998884450288,104.2785458809507,77,12958,0.0059071729957805,1.1155497117720793e-07,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.81,0.0081,False,logit_T,identity,6.03539753448705,13821,215178,0.009825285427558,0.0080999542136472,111.94946718681906,79,13742,0.0057159395123363,4.5786352719651147e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.82,0.0082,False,logit_T,identity,6.3912942851278824,14636,214363,0.0099608846112543,0.0081998953800897,120.01366878299396,87,14549,0.0059442470620388,1.0461991022461815e-07,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.83,0.0083,False,logit_T,identity,6.761164895916576,15483,213516,0.0100987569301855,0.0082999980571825,128.50886991935712,95,15388,0.0061357618032681,1.942817469402502e-09,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.84,0.0084,False,logit_T,identity,7.142389268075407,16356,212643,0.010248373433336,0.0083998894410364,137.38859169759223,98,16258,0.0059916850085595,1.1055896354666973e-07,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.85,0.0085,False,logit_T,identity,7.534094035345133,17253,211746,0.0104002229024276,0.0084999124880607,146.64899015651156,106,17147,0.0061438590390077,8.751193928367706e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.86,0.0086,False,logit_T,identity,7.936279197725754,18174,210825,0.0105436541383109,0.0085999512356049,156.29551375588414,112,18062,0.0061626499394739,4.8764395061892674e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.87,0.0087,False,logit_T,identity,8.351128170865374,19124,209875,0.0106818908176964,0.0086999081204906,166.3770428962637,124,19000,0.0064839991633549,9.187950932194877e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.88,0.0088,False,logit_T,identity,8.778640954763995,20103,208896,0.0108305644747178,0.0087999740189081,176.90587770211042,132,19971,0.0065661841516191,2.5981091856044913e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.89,0.0089,False,logit_T,identity,9.215324084384648,21103,207896,0.0109854207741391,0.0088999577519874,187.8158084401916,140,20963,0.0066341278491209,4.2248012529361174e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.9,0.009,False,logit_T,identity,9.661177559727337,22124,206875,0.0111451388373261,0.0089999534132587,199.1149693149371,148,21976,0.0066895678900741,4.6586741226858914e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.91,0.0091,False,logit_T,identity,10.116201380792056,23166,205833,0.0113013481172687,0.0090999745863011,210.81001126625168,153,23013,0.0066045066045066,2.5413698883161584e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.92,0.0092,False,logit_T,identity,10.579085498189947,24226,204773,0.0114666209790129,0.00919997194786,222.87852040885772,158,24068,0.0065219185998513,2.8052139944279023e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.93,0.0093,False,logit_T,identity,11.049829911921012,25304,203695,0.0116324869802347,0.0092999759745507,235.32659206003248,169,25135,0.0066787859626936,2.4025449237713437e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.94,0.0094,False,logit_T,identity,11.526251206337143,26395,202604,0.0118053300083321,0.009399942663953,248.11148661504097,179,26216,0.0067815874218602,5.733604694323213e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.95,0.0095,False,logit_T,identity,12.008786064567968,27500,201499,0.0119758583820227,0.0094999809806652,261.24947696829423,191,27309,0.0069454545454545,1.9019334754691308e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.96,0.0096,False,logit_T,identity,12.496997803483858,28618,200381,0.0121432193134707,0.0095999677077161,274.7318758594195,202,28416,0.0070584946537144,3.229228389377281e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
