algorithm_family,t_model_id,t_plus_ad_model_id,n_bins,t_risk_bin,t_plus_ad_risk_bin,case_count,share_of_total,share_within_t_bin,target_default_count,observed_default_rate,bin_assignment
logit,logit_T,logit_T_plus_AD,5,1,1,33109,0.1445814173861021,0.7229039301310044,189,0.005708417650789816,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,1,2,9814,0.04285608234097092,0.21427947598253275,131,0.013348277970246587,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,1,3,2666,0.011641972235686618,0.058209606986899566,53,0.019879969992498126,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,1,4,190,0.0008296979462792414,0.004148471615720524,6,0.031578947368421054,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,1,5,21,9.17034572203372e-05,0.00045851528384279475,0,0.0,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,2,1,10473,0.04573382416517103,0.22866812227074235,70,0.006683853719087177,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,2,2,20273,0.08852877086799506,0.4426419213973799,261,0.01287426626547625,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,2,3,11241,0.04908755060065764,0.24543668122270743,209,0.018592651899297215,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,2,4,3633,0.015864698099118335,0.0793231441048035,93,0.02559867877786953,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,2,5,180,0.0007860296333171761,0.003930131004366812,6,0.03333333333333333,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,3,1,1841,0.008039336416316229,0.04019650655021834,16,0.008690928843020097,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,3,2,12726,0.055572295075524344,0.27786026200873365,168,0.013201320132013201,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,3,3,17188,0.0750570963191979,0.37528384279475985,357,0.020770304863858505,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,3,4,12752,0.055685832689225716,0.2784279475982533,425,0.03332810539523212,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,3,5,1293,0.005646312865995048,0.028231441048034933,64,0.04949729311678268,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,4,1,344,0.0015021899658950477,0.007510917030567685,3,0.00872093023255814,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,4,2,2805,0.012248961785859326,0.061244541484716156,44,0.01568627450980392,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,4,3,13248,0.05785178101214416,0.28925764192139736,314,0.02370169082125604,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,4,4,19144,0.08359861833457788,0.41799126637554584,690,0.036042624320936065,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,4,5,10259,0.044799322267782826,0.22399563318777294,543,0.05292913539331319,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,5,1,33,0.0001441054327748156,0.000720539749776196,0,0.0,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,5,2,182,0.0007947632959095891,0.003973885892705081,4,0.02197802197802198,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,5,3,1457,0.00636247319857292,0.031812921679512655,38,0.02608098833218943,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,5,4,10081,0.044022026297058064,0.22011397628769186,454,0.04503521476044043,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,5,5,5,34046,0.14867313831064766,0.7433786763903142,3061,0.08990777183810139,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,1,14815,0.06469460565329979,0.646943231441048,66,0.004454944313196085,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,2,4878,0.02130140306289547,0.21301310043668123,36,0.007380073800738007,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,3,1955,0.008537155184083774,0.0853711790393013,28,0.01432225063938619,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,4,901,0.003934514997882087,0.03934497816593886,18,0.01997780244173141,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,5,250,0.0010917078240516335,0.010917030567685589,3,0.012,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,6,74,0.0003231455159192835,0.0032314410480349344,2,0.02702702702702703,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,7,19,8.296979462792414e-05,0.0008296943231441048,0,0.0,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,8,7,3.056781907344573e-05,0.0003056768558951965,0,0.0,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,9,0,0.0,0.0,0,,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,1,10,1,4.366831296206534e-06,4.3668122270742355e-05,0,0.0,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,1,5355,0.02338438159118599,0.23384279475982533,19,0.0035480859010270775,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,2,8061,0.035201027078720866,0.3520087336244542,68,0.008435677955588637,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,3,4539,0.019821047253481456,0.19820960698689957,50,0.011015642211940957,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,4,2419,0.010563364905523604,0.10563318777292577,35,0.014468788755684168,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,5,1734,0.0075720854676221295,0.07572052401746725,36,0.020761245674740483,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,6,608,0.0026550334280935725,0.026550218340611352,12,0.019736842105263157,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,7,135,0.000589522224987882,0.0058951965065502186,4,0.02962962962962963,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,8,29,0.00012663810758998948,0.0012663755458515284,2,0.06896551724137931,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,9,12,5.24019755544784e-05,0.0005240174672489083,0,0.0,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,2,10,8,3.493465036965227e-05,0.00034934497816593884,0,0.0,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,1,1591,0.006947628592264595,0.06947598253275108,9,0.0056568196103079825,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,2,5673,0.024773033943379666,0.24772925764192139,33,0.005817028027498678,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,3,5937,0.02592587740557819,0.2592576419213974,78,0.013137948458817585,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,4,3976,0.017362521233717176,0.1736244541484716,52,0.013078470824949699,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,5,2686,0.011729308861610749,0.11729257641921398,45,0.01675353685778109,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,6,2113,0.009227114528884405,0.0922707423580786,44,0.02082347373402745,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,7,753,0.0032882239660435198,0.032882096069869,19,0.025232403718459494,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,8,124,0.0005414870807296102,0.005414847161572052,4,0.03225806451612903,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,9,33,0.0001441054327748156,0.001441048034934498,2,0.06060606060606061,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,3,10,14,6.113563814689147e-05,0.000611353711790393,1,0.07142857142857142,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,4,1,640,0.0027947720295721816,0.02794759825327511,4,0.00625,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,4,2,2569,0.011218389599954585,0.11218340611353712,24,0.009342156481121059,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,4,3,5270,0.02301320093100843,0.23013100436681222,61,0.01157495256166983,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,4,4,5090,0.022227171297691257,0.22227074235807862,70,0.0137524557956778,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,4,5,3620,0.015807929292267653,0.15807860262008733,59,0.016298342541436465,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
logit,logit_T,logit_T_plus_AD,10,4,6,2822,0.012323197917894838,0.12323144104803493,61,0.02161587526576896,"separate global stable ranks by selected calibrated PD ascending, then frozen base_order ascending; bin 1 lowest risk"
